&
S--AW-G	săng
S--AW-T	săm
S--AW-N	săn
S-N-UO-NT	suột
S-N-U-NT	soạt
S-N-U-G	soạng
S-N-U-N	soạn
S-HS-U-G	soảng
S-HS-U-J	soải
S--UO-G	suông
S--UO-N	suôn
S-N-UY-NT	suỵt
S-S-UY-NT	suýt
S-S-OY-NT	sướt
S-S-OY-G	sướng
S-H-OY-N	sườn
S-HS-OY-J	sưởi
S-N-OY-NT	sượt
S-N-OY-G	sượng
S-H-U-J	soài
S-H-U-N	soàn
S-S-U-NT	soát
S-S-U-J	soái
S-S-U-N	soán
S--A-JG	sau
S--A-G	sang
S--A-J	sai
S--A-JN	say
S--A-K	sanh
S--A-T	sam
S--A-N	san
S--A-GT	sao
S--E-N	sen
S--E-GT	seo
S--IW-K	sinh
S--IW-T	sim
S--IW-N	sin
S-NS-IU-G	sũng
S--O-G	song
S--O-J	soi
S--O-N	son
S--IU-G	sung
S--IU-J	sui
S--IU-JN	suy
S--IU-T	sum
S--IU-N	sun
S-S-IY-NG	siếc
S-S-IY-NT	siết
S-HS-IY-T	siểm
S-HS-EY-N	suyển
S-NS-EY-N	suyễn
S--IY-JG	siêu
S--IY-G	siêng
S--W-T	sơm
S--W-N	sơn
S-N-A-TK	sạp
S-N-A-NT	sạt
S-N-A-GK	sạch
S-N-A-T	sạm
S-N-A-N	sạn
S-N-A-GT	sạo
S-HS-A-G	sảng
S-HS-A-J	sải
S-HS-A-JN	sảy
S-HS-A-K	sảnh
S-HS-A-N	sản
S-HS-A-GT	sảo
S-S-WY-TK	sấp
S-S-WY-NT	sất
S-S-WY-JG	sấu
S-S-WY-JN	sấy
S-S-WY-T	sấm
S-S-WY-N	sấn
S-H-WY-JG	sầu
S-H-WY-JN	sầy
S-H-WY-T	sầm
S-H-WY-N	sần
S-HS-WY-JN	sẩy
S-HS-WY-T	sẩm
S-HS-WY-N	sẩn
S-NS-WY-T	sẫm
S-N-WY-TK	sập
S-N-WY-JG	sậu
S-N-WY-JN	sậy
S-N-WY-T	sậm
S-S-AW-TK	sắp
S-S-AW-NG	sắc
S-S-AW-NT	sắt
